state,yr,qtr,index_nsa,index_sa,Warning
AK,1991,1,100.00,100.00,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,2,100.96,100.19,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,3,102.09,101.28,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1991,4,102.50,102.36,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,1,102.78,102.73,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,2,104.30,103.52,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,3,105.09,104.25,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1992,4,104.41,104.36,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,1,104.78,104.62,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,2,107.24,106.43,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,3,108.34,107.50,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1993,4,110.42,110.46,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,1,111.28,111.03,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,2,112.05,111.13,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,3,112.84,112.05,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1994,4,111.24,111.31,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,1,114.47,114.19,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,2,116.31,115.26,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,3,117.67,116.93,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1995,4,117.61,117.70,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,1,120.36,120.12,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,2,121.44,120.24,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,3,120.43,119.67,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1996,4,123.10,123.19,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,1,122.44,122.34,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,2,125.05,123.70,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,3,125.21,124.33,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1997,4,125.94,126.07,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,1,126.20,126.31,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,2,129.59,128.05,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,3,130.15,129.13,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1998,4,130.94,131.08,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,1,131.90,132.24,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,2,134.15,132.49,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,3,134.90,133.64,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,1999,4,131.35,131.58,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,1,132.86,133.31,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,2,136.86,135.18,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,3,138.05,136.60,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2000,4,136.70,137.00,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,1,139.75,140.27,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,2,144.85,143.16,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,3,146.64,144.97,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2001,4,148.62,148.95,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,1,148.87,149.41,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,2,153.74,152.03,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,3,158.07,156.23,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2002,4,157.13,157.39,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2003,1,160.01,160.63,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2003,2,164.95,163.20,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2003,3,167.45,165.44,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2003,4,170.90,171.17,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2004,1,174.77,175.51,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2004,2,179.03,177.07,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2004,3,185.65,183.44,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2004,4,187.88,188.11,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2005,1,191.80,192.85,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2005,2,199.55,197.10,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2005,3,206.41,204.05,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2005,4,207.46,207.68,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2006,1,211.35,212.70,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK,2006,2,218.85,215.93,"* Note that this state has fewer than 15,000 transactions over the latest ten years"
