,Metro,Mean Software Developer Salary (adjusted),Mean Software Developer Salary (unadjusted),Mean Unadjusted Salary (all occupations),Number of Software Developer Jobs,Median Home Price,City,Cost of Living avg,Rent avg,Cost of Living Plus Rent avg,Local Purchasing Power avg,City2,lat,lon
24,"San Jose-Sunnyvale-Santa Clara, CA",104964,137397,80480,78730,1193600,"Santa Clara, CA",1263.3,3470.9,4720.8,9589.6,Santa Clara,37.3541132,-121.9551744
25,"San Jose-Sunnyvale-Santa Clara, CA",104964,137397,80480,78730,1193600,"San Jose, CA",1041.5,3160.3,4083.6,9711.8,San Jose,37.3438502,-121.8831349
6,"San Francisco-Oakland-Hayward, CA",111017,142101,72400,59550,946700,"San Francisco, CA",1326.9,4163.3,5290.7,8216.7,San Francisco,37.7792768,-122.4192704
7,"San Francisco-Oakland-Hayward, CA",111017,142101,72400,59550,946700,"Oakland, CA",1313,3371.1,4754.9,6894.3,Oakland,37.8044557,-122.2713563
39,"Washington-Arlington-Alexandria, DC-VA-MD-WV",101188,119806,70980,63760,407700,"Washington, DC",1183.2,2821.2,4146.1,7517.5,Washington,38.8949549,-77.0366456
34,"Boston-Cambridge, MA",102171,114227,67370,54140,465000,"Boston, MA",1207.6,3005.1,4312.1,7140.5,Boston,42.3604823,-71.0595678
1,"Seattle-Tacoma-Bellevue, WA",117323,131167,65400,65760,491600,"Seattle, WA",1250.7,2528.2,4091.5,8971.3,Seattle,47.6038321,-122.3300624
51,"New York-Newark-Jersey City, NY-NJ-PA",96686,118247,64550,98650,442500,"New York, NY",1412.9,3840,5252.9,6170.5,New York,40.7305991,-73.9865812
52,"New York-Newark-Jersey City, NY-NJ-PA",96686,118247,64550,98650,442500,"Jersey City, NJ",1141.5,2419.2,3805.7,9619.2,Jersey City,40.7281575,-74.0776417
11,"Durham-Chapel Hill, NC",110313,105018,59940,6800,243700,"Durham, NC",994.3,1616.2,2999.9,6464.2,Durham,35.994,-78.8986
23,"Denver-Aurora-Lakewood, CO",105197,111824,59440,26750,407900,"Denver, CO",1062,2125.8,3460.6,8020.4,Denver,39.7391536,-104.9847034
49,"San Diego-Carlsbad, CA",97974,113650,58090,19130,590700,"San Diego, CA",1066.3,2640.7,3799.4,7894.6,San Diego,32.7174209,-117.1627714
32,"Los Angeles-Long Beach-Anaheim, CA",102188,119662,57890,53190,649500,"Los Angeles, CA",15809.2,2860,4043.7,7782.2,Los Angeles,34.053717,-118.2427266
33,"Los Angeles-Long Beach-Anaheim, CA",102188,119662,57890,53190,649500,"Long Beach, CA",987.2,2194.1,3356.6,6789.4,Long Beach,33.7774658,-118.1884871
17,"Baltimore-Columbia-Towson, MD",107282,115006,57740,16200,267800,"Baltimore, MD",1039.3,1600.5,3078.7,8399.9,Baltimore,39.2908608,-76.6108073
44,"Minneapolis-St. Paul-Bloomington, MN-WI",99228,101411,57420,22750,270700,"Minneapolis, MN",1117.3,1806.7,3365.5,7076.3,Minneapolis,44.9772995,-93.2654692
40,"Sacramento--Roseville--Arden-Arcade, CA",100785,102801,56430,9980,411500,"Sacramento, CA",1100.4,1941.1,3418,6258.7,Sacramento,38.5815719,-121.4943996
41,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",99955,105352,56170,26370,232800,"Philadelphia, PA",15809.2,1903.5,3430.6,7133.7,Philadelphia,39.952335,-75.163789
26,"Portland-Vancouver-Hillsboro, OR-WA",104335,106108,56160,15420,397400,"Portland, OR",1085.5,2031.7,3446.9,6669.7,Portland,45.5202471,-122.6741949
27,"Portland-Vancouver-Hillsboro, OR-WA",104335,106108,56160,15420,397400,"Vancouver, WA",968.8,1669.2,2983.6,7780.4,Vancouver,49.2827,-123.1207
45,"Chicago-Naperville-Elgin, IL-IN-WI",98726,102082,55670,42090,225900,"Chicago, IL",1088.8,2198.4,3559.9,8346.2,Chicago,41.8755546,-87.6244212
65,"Ann Arbor, MI",92683,94258,55130,2650,290500,"Ann Arbor, MI",993,1842,3142.3,9872.2,Ann Arbor,42.2681569,-83.7312291
31,"Santa Maria-Santa Barbara, CA",102781,112648,54890,2060,602600,"Santa Barbara, CA",1342.4,3011.3,4582.1,5791.6,Santa Barbara,34.4098107,-119.6970239
76,"Urban Honolulu, HI",72811,90796,54870,1590,678200,"Honolulu, HI",1464.5,2498.7,4494.4,5506.6,Honolulu,21.3099,157.8581
61,"Albany-Schenectady-Troy, NY",94051,94615,54400,2980,217600,"Albany, NY",1010.1,1332.5,2849.2,8006.2,Albany,42.6511674,-73.754968
16,"Houston-The Woodlands-Sugar Land, TX",107672,109503,54290,20400,205600,"Houston, TX",903.4,1665.8,2852.3,10673.7,Houston,29.7589382,-95.3676974
14,"Austin-Round Rock, TX",108990,109535,53810,21160,311300,"Austin, TX",939.6,2214.9,3275.7,9762.4,Austin,30.2711286,-97.7436995
48,"Detroit-Warren-Dearborn, MI",98156,94033,53690,28450,162200,"Detroit, MI",998.7,1407.3,2874.9,6790.6,Detroit,42.3486635,-83.0567375
70,"Madison, WI",90238,87350,52890,8770,257700,"Madison, WI",951.2,1488,2832.9,8153.1,Madison,43.074761,-89.3837613
12,"Atlanta-Sandy Springs-Roswell, GA",109849,106334,52750,38110,219600,"Atlanta, GA",1082.3,1865.4,3334,8063,Atlanta,33.7490987,-84.3901849
9,"Dallas-Fort Worth-Arlington, TX",110891,111113,52590,46130,243900,"Fort Worth, TX",995,1551.7,2960,6949.2,Fort Worth,32.753177,-97.3327459
10,"Dallas-Fort Worth-Arlington, TX",110891,111113,52590,46130,243900,"Dallas, TX",958.7,1926.5,3128.6,10530.6,Dallas,32.7761963,-96.7968994
15,"Raleigh, NC",107676,103584,52580,12560,267200,"Raleigh, NC",963.6,1589.4,2922.2,8892.9,Raleigh,35.7804015,-78.6390779
42,"Des Moines-West Des Moines, IA",99878,93386,52220,4060,188800,"Des Moines, IA",979.6,1153.1,2674.2,6685.7,Des Moines,41.5910641,-93.6037149
3,"Colorado Springs, CO",112118,111670,51430,5780,296500,"Colorado Springs, CO",1049.2,1594,3094.5,8493.1,Colorado Springs,38.8339578,-104.8253485
38,"Syracuse, NY",101256,98320,51400,2140,135000,"Syracuse, NY",1024.8,1201.9,2794.5,4840.1,Syracuse,43.0481221,-76.1474244
21,"Richmond, VA",105258,101153,51330,6390,229600,"Richmond, VA",957.3,1440.7,2814.5,8079.7,Richmond,37.5385087,-77.43428
0,"Columbus, OH",117552,108500,51260,13430,192000,"Columbus, OH",984.8,1421.5,2856.5,9335.4,Columbus,39.9622601,-83.0007065
55,"Fort Collins, CO",95969,98176,51050,1190,383600,"Fort Collins, CO",1027.9,1654.6,3090.8,6191.5,Fort Collins,40.5508527,-105.0668085
53,"Milwaukee-Waukesha-West Allis, WI",96580,92234,51040,6710,232300,"Milwaukee, WI",1011.1,58597.6,2975.8,6737.6,Milwaukee,43.0349931,-87.922497
2,"Charlotte-Concord-Gastonia, NC-SC",114122,107046,51000,12800,208500,"Charlotte, NC",989.9,1974.5,3221.1,8939.8,Charlotte,35.2270869,-80.8431268
20,"Salt Lake City, UT",106291,105334,50920,9600,366000,"Salt Lake City, UT",917.7,1625.8,2854.9,8676.4,Salt Lake City,40.7670126,-111.8904308
59,"Rochester, NY",94819,93112,50830,4950,146600,"Rochester, NY",1011.2,1118.6,2714.7,6177.9,Rochester,43.1854754,-77.61068605
29,"Phoenix-Mesa-Scottsdale, AZ",103177,100804,50520,20440,266600,"Phoenix, AZ",980.1,1683.8,3015.1,8388.2,Phoenix,33.4467681,-112.0756724
30,"Phoenix-Mesa-Scottsdale, AZ",103177,100804,50520,20440,266600,"Mesa, AZ",899.5,1266.8,2588.6,6381.5,Mesa,33.436188,-111.5860661
72,"Cleveland-Elyria, OH",89040,80314,50470,8220,146500,"Cleveland, OH",1065.5,1355.1,2973.1,7732.9,Cleveland,41.5051613,-81.6934446
57,"Kansas City, MO-KS",95308,88732,50200,12480,192900,"Kansas City, MO",933.5,1286.4,2668.5,7848.9,Kansas City,39.0844687,-94.5630298
4,"Dayton, OH",111616,99338,50100,4240,124100,"Dayton, OH",961.2,1072.1,2586,4887.7,Dayton,39.7589478,-84.1916069
50,"Pittsburgh, PA",97043,91220,50070,11060,143200,"Pittsburgh, PA",1163.7,1503,3262,7126.9,Pittsburgh,40.4416941,-79.9900861
13,"Cincinnati, OH-KY-IN",109013,98112,50030,8620,169900,"Cincinnati, OH",909.8,58597.6,2775.1,7723.6,Cincinnati,39.1014537,-84.5124602
62,"Buffalo-Cheektowaga-Niagara Falls, NY",93735,88955,49420,3170,159300,"Buffalo, NY",1049.7,1135.1,2800.8,7673.6,Buffalo,42.8864468,-78.8783689
54,"Indianapolis-Carmel-Anderson, IN",96448,88732,49380,8470,166800,"Indianapolis, IN",948.6,1387,2763,7499,Indianapolis,39.7683331,-86.1583502
69,"Spokane-Spokane Valley, WA",90269,85575,49200,1120,243200,"Spokane, WA",962.3,1347.4,2764.6,6933.2,Spokane,47.6588603,-117.4247134
66,"Akron, OH",92207,83355,48910,2590,141900,"Akron, OH",878.8,879.3,2299.7,6348.8,Akron,41.0830643,-81.5184854
43,"Omaha-Council Bluffs, NE-IA",99826,92339,48690,5220,177200,"Omaha, NE",1064.1,1160,2845.5,6542.6,Omaha,41.2587317,-95.9378732
46,"Nashville-Davidson--Murfreesboro--Franklin, TN",98623,93987,48370,5290,255300,"Nashville, TN",1040.2,2054.4,3371.8,6877.7,Nashville,36.187025,-86.78086153
73,"Miami-Fort Lauderdale-West Palm Beach, FL",88249,95662,48240,13740,283400,"Miami, FL",1102.1,2494.4,3775.8,5782.4,Miami,25.7742658,-80.1936589
74,"Miami-Fort Lauderdale-West Palm Beach, FL",88249,95662,48240,13740,283400,"Fort Lauderdale, FL",1086,2171.9,3537.8,6252,Fort Lauderdale,26.1223084,-80.1433786
36,"Tampa-St. Petersburg-Clearwater, FL",101733,100614,47750,12160,213800,"Tampa, FL",1071.4,1780.6,3257.8,6064.4,Tampa,27.9477595,-82.458444
19,"Tucson, AZ",107170,101919,47610,4480,206200,"Tucson, AZ",909.1,1062.1,130097.8,5164.1,Tucson,32.2217422,-110.9264759
37,"Birmingham-Hoover, AL",101598,90219,47480,2310,146000,"Birmingham, AL",1113.7,1082.5,2893.8,5240.6,Birmingham,33.5186,-86.8104
75,"Eugene, OR",85912,84021,47320,1220,293900,"Eugene, OR",984,1448,2871.7,5443,Eugene,44.0505054,-123.0950506
47,"Oklahoma City, OK",98617,90135,47120,3640,146700,"Oklahoma City, OK",917.6,1222.3,2596,7895.2,Oklahoma City,35.4729886,-97.5170536
67,"Jacksonville, FL",91568,87355,46920,4530,214100,"Jacksonville, FL",982.1,1358.2,2810.8,8904,Jacksonville,30.3321838,-81.655651
68,"Albuquerque, NM",91010,87097,46860,1770,199500,"Albuquerque, NM",896.4,1302.1,2605.4,7555.2,Albuquerque,35.0841034,-106.6509851
8,"San Antonio-New Braunfels, TX",110898,104688,46650,5410,194100,"San Antonio, TX",884.3,1469.5,2688.9,8494.9,San Antonio,29.4246002,-98.4951405
56,"Charleston-North Charleston, SC",95609,91976,46200,2000,255100,"Charleston, SC",1091.6,1866.6,3352.9,7482.4,Charleston,32.7876012,-79.9402728
58,"Tulsa, OK",95187,86049,46170,1770,138200,"Tulsa, OK",881,1110.5,2452,8148.2,Tulsa,36.1556805,-95.9929113
60,"Louisville/Jefferson County, KY-IN",94320,85737,45740,4950,162300,"Louisville, KY",956.7,1238,2683.7,6766,Louisville,38.2542376,-85.759407
18,"Las Vegas-Henderson-Paradise, NV",107175,104495,45600,3900,279900,"Las Vegas, NV",965.6,1467.2,2848.1,7702.6,Las Vegas,36.1662859,-115.149225
64,"Boise City, ID",93112,87712,45470,2390,287300,"Boise, ID",964.9,1662.3,2971.5,5098.7,Boise,43.5988375,-116.243255
63,"Little Rock-North Little Rock-Conway, AR",93194,84434,45020,1810,140600,"Little Rock, AR",837.3,983,2283.9,8087.7,Little Rock,34.7464809,-92.2895948
35,"Orlando-Kissimmee-Sanford, FL",102093,100358,44930,11050,238900,"Orlando, FL",962.2,1761.4,3029.9,7609.5,Orlando,28.5421175,-81.3790462
22,"Lexington-Fayette, KY",105248,95986,44900,1140,178400,"Lexington, KY",889,1124,130097.8,6318.6,Lexington,38.0464066,-84.4970393
71,"Memphis, TN-MS-AR",89921,81918,44610,1590,139900,"Memphis, TN",880.1,1340.5,2597.5,6784.5,Memphis,35.1490215,-90.0516285
5,"Greensboro-High Point, NC",111050,99612,44570,1560,136000,"Greensboro, NC",992.9,1445.4,2888,5721.9,Greensboro,36.0726355,-79.7919754
28,"Wichita, KS",103690,92595,44500,1220,132900,"Wichita, KS",832.5,931.6,2241.4,7357.7,Wichita,37.6922361,-97.3375448
