State,Year,Quarter,H_idx
AK,1975,1,62.05
AK,1975,2,63.94
AK,1975,3,68.16
AK,1975,4,68.24
AK,1976,1,71.34
AK,1976,2,71.54
AK,1976,3,77.47
AK,1976,4,74.0
AK,1977,1,78.24
AK,1977,2,76.89
AK,1977,3,78.54
AK,1977,4,79.39
AK,1978,1,81.58
AK,1978,2,86.0
AK,1978,3,87.67
AK,1978,4,87.04
AK,1979,1,89.0
AK,1979,2,98.75
AK,1979,3,96.42
AK,1979,4,95.45
AK,1980,1,100.0
AK,1980,2,82.81
AK,1980,3,73.76
AK,1980,4,94.67
AK,1981,1,89.45
AK,1981,2,108.45
AK,1981,3,116.28
AK,1981,4,129.04
AK,1982,1,136.17
AK,1982,2,130.95
AK,1982,3,140.71
AK,1982,4,136.75
AK,1983,1,138.72
AK,1983,2,140.03
AK,1983,3,146.51
AK,1983,4,145.91
AK,1984,1,149.87
AK,1984,2,147.69
AK,1984,3,154.28
AK,1984,4,152.29
AK,1985,1,144.52
AK,1985,2,145.13
AK,1985,3,145.71
AK,1985,4,141.57
AK,1986,1,142.53
AK,1986,2,144.91
AK,1986,3,140.31
AK,1986,4,137.0
AK,1987,1,133.57
AK,1987,2,124.14
AK,1987,3,115.93
AK,1987,4,104.98
AK,1988,1,120.74
AK,1988,2,115.15
AK,1988,3,126.22
AK,1988,4,131.93
AK,1989,1,128.47
AK,1989,2,104.24
AK,1989,3,104.01
AK,1989,4,102.03
AK,1990,1,98.67
AK,1990,2,112.35
AK,1990,3,121.81
AK,1990,4,119.91
AK,1991,1,124.09
AK,1991,2,127.19
AK,1991,3,131.11
AK,1991,4,131.24
AK,1992,1,133.08
AK,1992,2,134.29
AK,1992,3,134.97
AK,1992,4,135.47
AK,1993,1,135.33
AK,1993,2,135.87
AK,1993,3,138.31
AK,1993,4,139.11
AK,1994,1,140.25
AK,1994,2,143.49
AK,1994,3,145.33
AK,1994,4,144.38
AK,1995,1,146.62
AK,1995,2,149.15
AK,1995,3,150.64
AK,1995,4,151.16
AK,1996,1,153.52
AK,1996,2,156.02
AK,1996,3,156.5
AK,1996,4,158.53
AK,1997,1,158.35
AK,1997,2,159.71
AK,1997,3,160.95
AK,1997,4,163.04
AK,1998,1,162.8
AK,1998,2,165.51
AK,1998,3,167.05
AK,1998,4,166.81
AK,1999,1,168.71
AK,1999,2,172.35
AK,1999,3,172.02
AK,1999,4,172.07
AK,2000,1,171.88
AK,2000,2,174.23
AK,2000,3,175.21
AK,2000,4,175.65
AK,2001,1,178.78
AK,2001,2,182.48
AK,2001,3,185.04
AK,2001,4,185.43
AK,2002,1,188.27
AK,2002,2,193.7
AK,2002,3,194.95
AK,2002,4,194.5
AK,2003,1,195.79
AK,2003,2,198.91
AK,2003,3,203.43
AK,2003,4,211.41
AK,2004,1,212.68
AK,2004,2,217.79
AK,2004,3,229.09
AK,2004,4,231.46
AK,2005,1,237.26
AK,2005,2,246.0
AK,2005,3,254.89
AK,2005,4,262.66
AK,2006,1,267.0
AK,2006,2,273.42
AK,2006,3,278.7
AK,2006,4,280.26
AK,2007,1,284.14
AK,2007,2,286.96
AK,2007,3,285.97
AK,2007,4,285.4
AK,2008,1,285.25
AK,2008,2,285.73
AK,2008,3,282.17
AK,2008,4,284.62
AK,2009,1,285.34
AK,2009,2,282.54
AK,2009,3,281.32
AK,2009,4,282.75
AK,2010,1,278.48
AK,2010,2,280.89
AK,2010,3,282.71
AK,2010,4,283.41
AK,2011,1,283.27
AK,2011,2,282.58
AK,2011,3,283.54
AK,2011,4,285.53
AK,2012,1,283.59
AK,2012,2,282.67
AK,2012,3,285.79
AK,2012,4,287.99
AK,2013,1,291.2
AK,2013,2,291.95
AK,2013,3,294.72
AK,2013,4,296.1
AK,2014,1,293.34
AK,2014,2,299.35
AK,2014,3,303.11
AK,2014,4,302.16
AK,2015,1,304.94
AK,2015,2,308.19
AK,2015,3,312.03
AK,2015,4,312.73
AK,2016,1,313.36
AK,2016,2,315.59
AK,2016,3,317.49
AK,2016,4,315.39
AK,2017,1,316.99
AK,2017,2,317.86
AK,2017,3,321.43
AK,2017,4,321.68
AK,2018,1,321.09
AK,2018,2,323.36
AK,2018,3,323.5
AK,2018,4,323.0
AK,2019,1,325.96
AK,2019,2,329.89
AK,2019,3,332.4
AK,2019,4,332.19
AK,2020,1,335.86
AK,2020,2,339.15
AK,2020,3,343.25
AK,2020,4,346.58
AK,2021,1,350.08
AK,2021,2,363.09
AK,2021,3,380.16
AK,2021,4,385.34
AK,2022,1,395.66
AK,2022,2,417.45
AK,2022,3,421.76
AK,2022,4,414.35
AL,1975,1,75.02
AL,1975,2,72.22
AL,1975,3,74.62
AL,1975,4,71.7
AL,1976,1,77.1
AL,1976,2,74.22
AL,1976,3,77.26
AL,1976,4,79.7
AL,1977,1,81.21
AL,1977,2,83.69
AL,1977,3,88.34
AL,1977,4,89.16
AL,1978,1,88.57
AL,1978,2,88.53
AL,1978,3,96.67
