Year,index_nsa,"City, State",Population,Violent Crimes,Homicides,Rapes,Assaults,Robberies
1975.0,41.08,"Atlanta, GA",490584.0,8033.0,185.0,443.0,3518.0,3887.0
1975.0,30.75,"Chicago, IL",3150000.0,37160.0,818.0,1657.0,12514.0,22171.0
1975.0,36.35,"Cleveland, OH",659931.0,10403.0,288.0,491.0,2524.0,7100.0
1975.0,20.91,"Oakland, CA",337748.0,5900.0,111.0,316.0,2288.0,3185.0
1975.0,20.385,"Seattle, WA",503500.0,3971.0,52.0,324.0,1492.0,2103.0
1975.0,31.215,"Washington, DC",716000.0,12704.0,235.0,520.0,2812.0,9137.0
1976.0,40.7425,"Atlanta, GA",457300.0,7529.0,154.0,477.0,3518.0,3380.0
1976.0,34.93,"Baltimore, MD",860974.0,14191.0,200.0,460.0,5776.0,7755.0
1976.0,32.9175,"Chicago, IL",3134499.0,30640.0,814.0,1179.0,11070.0,17577.0
1976.0,41.01333333,"Cincinnati, OH",427045.0,3461.0,56.0,263.0,1617.0,1525.0
1976.0,39.99,"Cleveland, OH",642298.0,8496.0,236.0,498.0,2309.0,5453.0
1976.0,39.21333333,"Columbus, OH",595500.0,3287.0,53.0,328.0,985.0,1921.0
1976.0,42.6125,"Dallas, TX",888450.0,7244.0,230.0,591.0,3310.0,3113.0
1976.0,32.08,"Aurora, CO",132000.0,546.0,2.0,40.0,338.0,166.0
1976.0,32.08,"Denver, CO",523676.0,4107.0,86.0,383.0,1596.0,2042.0
1976.0,36.38,"Detroit, MI",1334100.0,29699.0,663.0,1230.0,6593.0,21213.0
1976.0,56.38,"Houston, TX",1477000.0,8045.0,321.0,690.0,1503.0,5531.0
1976.0,36.345,"Miami, FL",338721.0,5172.0,84.0,145.0,2630.0,2313.0
1976.0,37.84333333,"Minneapolis, MN",397421.0,2954.0,27.0,300.0,1220.0,1407.0
1976.0,25.45333333,"Newark, NJ",367886.0,6565.0,99.0,323.0,2309.0,3834.0
1976.0,24.385,"Oakland, CA",333100.0,5514.0,98.0,309.0,2213.0,2894.0
1976.0,36.16,"Philadelphia, PA",1916665.0,13113.0,338.0,764.0,4225.0,7786.0
1976.0,42.84,"Pittsburgh, PA",487106.0,4621.0,62.0,287.0,1853.0,2419.0
1976.0,30.19333333,"Portland, OR",379818.0,4304.0,39.0,322.0,2030.0,1913.0
1976.0,29.89,"Sacramento, CA",260700.0,2799.0,52.0,192.0,1368.0,1187.0
1976.0,23.1275,"Seattle, WA",503500.0,4128.0,42.0,322.0,1601.0,2163.0
1976.0,42.62,"Tampa, FL",274568.0,2935.0,42.0,162.0,1706.0,1025.0
1976.0,32.4375,"Washington, DC",702000.0,10399.0,188.0,508.0,2659.0,7044.0
1976.0,54.29,"Wichita, KS",256455.0,1114.0,19.0,111.0,470.0,514.0
1977.0,37.915,"Albuquerque, NM",292341.0,2390.0,31.0,207.0,1398.0,754.0
1977.0,42.4825,"Atlanta, GA",440300.0,7595.0,138.0,510.0,3593.0,3354.0
1977.0,41.04333333,"Austin, TX",321900.0,1260.0,33.0,187.0,528.0,512.0
1977.0,37.245,"Baltimore, MD",827494.0,14283.0,171.0,499.0,6050.0,7563.0
1977.0,25.05,"Boston, MA",619321.0,9422.0,75.0,408.0,3284.0,5655.0
